index,tf_float,expected_hw_int
0,27504.009766,107
1,26696.240234,104
2,29579.750000,116
3,29362.107422,115
4,28521.009766,111
5,27765.587891,108
6,27680.019531,108
7,26834.726562,105
8,29718.248047,116
9,28857.005859,113
10,27955.634766,109
11,26999.812500,105
12,27049.974609,106
13,29933.482422,117
14,29024.994141,113
15,28130.472656,110
16,28257.222656,110
17,27506.833984,107
18,30473.871094,119
19,30258.683594,118
20,29325.908203,115
21,28512.943359,111
22,28368.179688,111
23,27416.333984,107
24,30383.371094,119
25,29470.708984,115
26,28844.933594,113
27,27779.619141,109
28,27742.250000,108
29,30709.269531,120
30,30088.189453,118
31,29081.646484,114
32,25680.695312,100
33,25160.328125,98
34,27886.654297,109
35,27725.044922,108
36,26510.451172,104
37,26132.320312,102
38,25918.296875,101
39,25137.888672,98
40,27864.220703,109
41,27423.927734,107
42,26915.234375,105
43,26064.533203,102
44,25575.511719,100
45,28301.837891,111
46,27835.865234,109
47,26831.937500,105
48,20781.312500,81
49,20251.253906,79
50,22454.982422,88
51,22505.701172,88
52,21558.332031,84
53,21319.992188,83
54,21380.265625,84
55,20417.142578,80
56,22620.869141,88
57,22377.552734,87
58,21687.537109,85
59,20689.619141,81
60,20548.078125,80
61,22751.814453,89
62,22155.162109,87
63,21425.857422,84
64,19466.066406,76
65,19666.345703,77
66,21699.826172,85
67,21006.142578,82
68,20449.826172,80
69,19975.632812,78
70,19231.093750,75
71,18683.960938,73
72,20717.443359,81
73,20917.718750,82
74,20224.039062,79
75,19667.720703,77
76,19130.150391,75
77,21163.628906,83
78,20460.560547,80
79,19769.238281,77
80,21594.925781,84
81,21771.367188,85
82,24028.253906,94
83,23264.880859,91
84,22638.478516,88
85,22158.330078,87
86,21343.708984,83
87,20726.890625,81
88,22983.781250,90
89,23160.220703,90
90,22396.855469,87
91,21770.447266,85
92,21212.177734,83
93,23469.068359,92
94,22727.029297,89
95,21979.464844,86
96,22322.527344,87
97,22437.142578,88
98,24755.828125,97
99,23992.837891,94
100,23281.484375,91
101,22704.115234,89
102,22132.300781,86
103,21430.726562,84
104,23749.421875,93
105,23864.031250,93
106,23101.039062,90
107,22389.679688,87
108,21771.152344,85
109,24089.839844,94
110,23332.226562,91
111,22654.167969,88
112,19588.529297,77
113,19370.181641,76
114,21406.304688,84
115,20914.820312,82
116,20230.953125,79
117,19873.265625,78
118,19312.664062,75
119,18665.289062,73
120,20701.412109,81
121,20386.695312,80
122,19987.011719,78
123,19563.261719,76
124,18962.039062,74
125,20998.156250,82
126,20779.810547,81
127,20288.318359,79
128,23702.091797,93
129,22923.179688,90
130,25403.470703,99
131,24951.330078,97
132,24193.728516,95
133,23859.996094,93
134,23497.582031,92
135,22856.152344,89
136,25336.457031,99
137,24945.468750,97
138,24147.726562,94
139,23429.945312,92
140,23488.582031,92
141,25968.884766,101
142,25118.417969,98
143,24327.599609,95
144,25808.105469,101
145,24959.087891,97
146,27662.798828,108
147,27189.953125,106
148,26365.199219,103
149,26015.818359,102
150,25635.041016,100
151,24934.468750,97
152,27638.173828,108
153,27225.878906,106
154,26358.457031,103
155,25573.113281,100
156,25605.585938,100
157,28309.292969,111
158,27388.736328,107
159,26522.765625,104
160,26363.712891,103
161,25530.234375,100
162,28295.746094,111
163,27809.160156,109
164,26900.921875,105
165,26521.072266,104
166,26133.384766,102
167,25353.326172,99
168,28118.839844,110
169,27680.916016,108
170,27037.248047,106
171,26168.220703,102
172,26137.699219,102
173,28903.207031,113
174,28238.935547,110
175,27272.011719,107
176,24584.910156,96
177,23853.503906,93
178,26470.494141,103
179,26307.603516,103
180,25353.500000,99
181,24768.242188,97
182,24673.826172,96
183,23979.259766,94
184,26596.246094,104
185,26063.804688,102
186,25973.972656,101
187,25322.298828,99
188,24734.177734,97
189,27351.162109,107
190,27211.492188,106
191,26249.960938,103
192,17771.880859,69
193,17705.634766,69
194,19549.929688,76
195,18958.863281,74
196,18446.240234,72
197,18253.351562,71
198,17635.589844,69
199,17062.533203,67
200,18906.828125,74
201,18840.587891,74
202,18249.521484,71
203,17736.902344,69
204,17176.740234,67
205,19021.033203,74
206,18871.425781,74
207,18299.492188,71
208,19765.007812,77
209,19716.445312,77
210,21771.421875,85
211,21151.996094,83
212,20605.351562,80
213,20281.869141,79
214,19630.074219,77
215,18974.617188,74
216,21029.601562,82
217,20981.042969,82
218,20361.630859,80
219,19814.974609,77
220,19172.412109,75
221,21227.392578,83
222,20984.964844,82
223,20330.630859,79
224,21764.910156,85
225,21734.582031,85
226,24000.791016,94
227,23353.558594,91
228,22769.359375,89
229,22315.890625,87
230,21630.601562,84
231,20893.283203,82
232,23159.490234,90
233,23129.173828,90
234,22481.941406,88
235,21897.738281,86
236,21173.314453,83
237,23439.521484,92
238,23102.224609,90
239,22366.027344,87
240,22262.347656,87
241,22177.744141,87
242,24490.226562,96
243,23796.998047,93
244,23140.771484,90
245,22732.873047,89
246,22118.005859,86
247,21372.929688,83
248,23685.419922,93
249,23600.812500,92
250,22907.580078,89
251,22251.355469,87
252,21426.656250,84
253,23739.144531,93
254,23625.974609,92
255,22920.632812,90
