# Hardware output dump: 256 x int16 values
# index,hw_int16
0,107
1,104
2,115
3,114
4,111
5,108
6,108
7,104
8,115
9,112
10,109
11,105
12,105
13,116
14,113
15,109
16,110
17,107
18,118
19,118
20,114
21,111
22,110
23,106
24,118
25,115
26,112
27,108
28,108
29,119
30,117
31,113
32,100
33,98
34,108
35,108
36,103
37,101
38,101
39,98
40,108
41,107
42,105
43,101
44,99
45,110
46,108
47,104
48,81
49,79
50,87
51,87
52,84
53,83
54,83
55,79
56,88
57,87
58,84
59,80
60,80
61,88
62,86
63,83
64,75
65,76
66,84
67,81
68,79
69,77
70,75
71,72
72,80
73,81
74,78
75,76
76,74
77,82
78,79
79,77
80,84
81,84
82,93
83,90
84,88
85,86
86,83
87,80
88,89
89,90
90,87
91,84
92,82
93,91
94,88
95,85
96,87
97,87
98,96
99,93
100,90
101,88
102,86
103,83
104,92
105,93
106,90
107,87
108,84
109,94
110,91
111,88
112,76
113,75
114,83
115,81
116,78
117,77
118,75
119,72
120,80
121,79
122,77
123,76
124,73
125,81
126,81
127,79
128,92
129,89
130,99
131,97
132,94
133,93
134,91
135,89
136,98
137,97
138,94
139,91
140,91
141,101
142,98
143,94
144,100
145,97
146,107
147,106
148,102
149,101
150,100
151,97
152,107
153,106
154,102
155,99
156,99
157,110
158,106
159,103
160,102
161,99
162,110
163,108
164,104
165,103
166,102
167,98
168,109
169,108
170,105
171,102
172,102
173,112
174,110
175,106
176,95
177,93
178,103
179,102
180,98
181,96
182,96
183,93
184,103
185,101
186,101
187,98
188,96
189,106
190,106
191,102
192,69
193,69
194,76
195,73
196,71
197,71
198,68
199,66
200,73
201,73
202,71
203,69
204,67
205,74
206,73
207,71
208,77
209,76
210,84
211,82
212,80
213,79
214,76
215,74
216,82
217,81
218,79
219,77
220,74
221,82
222,81
223,79
224,84
225,84
226,93
227,91
228,88
229,87
230,84
231,81
232,90
233,90
234,87
235,85
236,82
237,91
238,90
239,87
240,86
241,86
242,95
243,92
244,90
245,88
246,86
247,83
248,92
249,92
250,89
251,86
252,83
253,92
254,92
255,89
